"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","23,903.10","23,956.80","23,866.75","23,895.15","23,914.75","-","19.60","0.08","98,71,81,483","27,337.58","24,035.00","19,519.85","0.44","7.06"
"JBMA","582.40","644.75","580.00","577.95","637.65","-","59.70","10.33","1,43,62,035","910.11","860.00","489.80","-5.96","-64.74"
"HINDCOPPER","418.00","432.00","412.70","407.80","431.60","-","23.80","5.84","2,59,04,227","1,101.58","432.00","183.82","29.81","50.20"
"MANAPPURAM","296.50","313.80","295.00","294.80","311.80","-","17.00","5.77","1,55,82,476","479.66","313.80","168.83","6.39","62.85"
"BDL","1,434.00","1,498.00","1,426.70","1,431.40","1,494.90","-","63.50","4.44","17,54,628","258.79","2,096.60","907.00","-5.37","15.51"
"OLECTRA","1,199.00","1,273.00","1,193.20","1,197.70","1,249.60","-","51.90","4.33","13,03,663","162.55","1,714.20","989.95","-9.67","-18.69"
"IIFL","574.00","599.00","570.85","572.75","595.50","-","22.75","3.97","20,42,423","120.58","599.00","279.80","6.06","40.64"
"AJANTPHARM","2,747.00","2,824.00","2,736.00","2,668.10","2,759.70","-","91.60","3.43","8,10,001","225.08","3,115.90","2,327.30","7.34","-6.92"
"GMDCLTD","530.30","557.90","528.45","527.90","545.50","-","17.60","3.33","51,29,078","280.90","651.00","226.59","7.98","61.93"
"NUVAMA","7,282.00","7,572.50","7,255.00","7,282.00","7,519.50","-","237.50","3.26","2,60,654","195.29","8,508.50","4,735.45","0.45","6.30"
"GRSE","2,420.10","2,511.00","2,412.00","2,420.70","2,499.30","-","78.60","3.25","9,61,860","237.92","3,538.40","1,184.90","-14.07","53.97"
"TTML","49.94","53.14","49.70","49.57","51.17","-","1.60","3.23","1,34,25,088","69.65","84.50","44.52","-2.63","-36.33"
"PNBHOUSING","930.10","963.60","928.50","932.85","959.65","-","26.80","2.87","12,25,202","117.06","1,141.90","746.70","5.15","7.37"
"HINDZINC","619.00","631.90","617.95","609.80","627.20","-","17.40","2.85","96,15,619","601.85","631.90","378.15","33.06","30.08"
"TITAGARH","837.95","867.50","833.25","837.05","860.70","-","23.65","2.83","19,95,137","170.97","1,330.00","654.55","-1.50","-36.13"
"HEG","541.25","564.45","541.25","539.00","554.00","-","15.00","2.78","24,87,743","138.80","619.00","331.25","7.06","-0.47"
"DATAPATTNS","2,645.00","2,732.50","2,630.40","2,657.80","2,731.70","-","73.90","2.78","2,61,891","70.58","3,268.80","1,351.15","-12.24","3.51"
"KPIL","1,160.00","1,208.00","1,156.50","1,172.90","1,205.40","-","32.50","2.77","90,061","10.75","1,340.00","786.30","-4.60","-8.08"
"JYOTICNC","964.80","999.40","964.20","965.80","992.40","-","26.60","2.75","2,02,025","19.93","1,416.45","750.10","-2.66","-27.48"
"DALBHARAT","2,073.80","2,120.00","2,049.90","2,059.40","2,115.30","-","55.90","2.71","1,71,252","35.93","2,496.30","1,601.00","2.50","14.29"
"360ONE","1,190.00","1,213.90","1,180.30","1,181.70","1,212.70","-","31.00","2.62","9,42,575","113.27","1,318.00","790.50","3.69","-5.43"
"DEEPAKNTR","1,685.30","1,739.80","1,684.60","1,694.60","1,739.00","-","44.40","2.62","1,42,164","24.40","2,632.60","1,514.00","0.17","-34.74"
"ATHERENERG","708.50","729.55","707.00","706.35","722.65","-","16.30","2.31","18,38,415","132.37","790.00","288.15","1.50","-"
"INDUSTOWER","414.35","424.10","412.00","414.35","423.75","-","9.40","2.27","26,65,972","111.98","430.00","312.55","4.37","22.92"
"GILLETTE","8,018.00","8,353.00","8,016.00","8,019.00","8,195.00","-","176.00","2.19","61,632","50.82","11,500.00","7,411.65","-3.11","-14.82"
"SBFC","103.30","107.94","103.30","104.80","107.10","-","2.30","2.19","12,15,141","12.96","123.00","79.24","-2.53","23.96"
"M&MFIN","386.10","398.90","384.35","386.20","394.40","-","8.20","2.12","24,76,979","97.59","412.20","231.02","-82.80","-81.36"
"VOLTAS","1,385.60","1,420.00","1,377.80","1,385.60","1,414.90","-","29.30","2.11","2,49,190","35.01","1,859.40","1,135.00","-0.73","-17.84"
"NATIONALUM","292.00","298.40","290.35","290.15","296.25","-","6.10","2.10","73,17,946","216.74","298.40","137.75","15.75","34.73"
"CUB","289.00","294.90","287.35","288.60","294.40","-","5.80","2.01","12,93,769","37.67","294.90","142.91","9.85","64.52"
"OLAELEC","34.98","35.90","34.75","34.75","35.42","-","0.67","1.93","3,01,06,935","105.98","99.95","30.76","-16.99","-62.90"
"GVT&D","3,111.00","3,202.90","3,111.00","3,129.90","3,190.00","-","60.10","1.92","1,69,034","53.59","3,323.80","1,254.00","7.85","45.19"
"LAURUSLABS","1,073.90","1,088.80","1,070.50","1,068.40","1,088.50","-","20.10","1.88","10,15,356","109.91","1,088.80","501.15","9.22","91.06"
"MAZDOCK","2,515.00","2,563.00","2,511.00","2,513.20","2,560.10","-","46.90","1.87","6,56,764","166.59","3,775.00","1,918.05","-8.45","-46.80"
"AFCONS","382.00","390.55","381.35","382.85","390.00","-","7.15","1.87","1,52,714","5.90","570.00","376.30","-1.97","-26.41"
"PREMIERENE","881.20","910.45","879.50","880.45","896.75","-","16.30","1.85","12,55,299","113.20","1,384.00","774.05","-10.99","-32.09"
"SHRIRAMFIN","958.00","983.70","958.00","957.80","974.90","-","17.10","1.79","66,22,519","645.46","983.70","493.35","16.34","-66.71"
"IDBI","100.30","102.60","100.05","100.07","101.82","-","1.75","1.75","74,41,463","75.55","106.97","65.89","-0.17","31.62"
"NTPCGREEN","90.38","92.30","90.08","90.48","92.04","-","1.56","1.72","16,14,896","14.75","137.09","84.55","-6.85","-31.28"
"VEDL","589.95","597.70","587.20","586.40","596.45","-","10.05","1.71","70,89,160","421.49","597.70","363.00","18.13","22.87"
"DIXON","12,755.00","13,180.00","12,755.00","12,832.00","13,052.00","-","220.00","1.71","3,19,280","417.60","18,700.00","12,130.00","-14.25","-28.49"
"BAYERCROP","4,469.00","4,550.60","4,455.60","4,456.60","4,531.70","-","75.10","1.69","10,227","4.61","6,511.00","4,217.45","-1.94","-23.97"
"APOLLOHOSP","7,070.00","7,209.50","7,044.50","7,073.50","7,190.00","-","116.50","1.65","1,78,646","127.82","8,099.50","6,001.00","-4.30","-2.46"
"PETRONET","280.90","284.00","279.50","279.40","284.00","-","4.60","1.65","10,65,647","30.08","349.50","263.50","1.54","-16.96"
"SUNTV","567.00","577.95","562.55","566.25","575.60","-","9.35","1.65","1,52,652","8.75","715.80","518.05","5.52","-18.74"
